"Day ","Items ","Note ","Amount "
"84","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"84","Rental Expense","Cash Payment - Rental - Miami","2240"
"83","Human Resource Expense","Counselled","2000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"83","Salary Expense","Cash Payment - Salary Expense","38582"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13226","352"
"83","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"83","Rental Expense","Cash Payment - Rental - Chicago","4800"
"83","Rental Expense","Cash Payment - Rental - New York","5360"
"83","Rental Expense","Cash Payment - Rental - Detroit","2000"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"83","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"83","Rental Expense","Cash Payment - Rental - Miami","2240"
"82","Human Resource Expense","Staff Transfer","15000"
"82","Human Resource Expense","Counselled","2000"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"82","Salary Expense","Cash Payment - Salary Expense","38504"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12876","261"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13001","307"
"82","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"82","Rental Expense","Cash Payment - Rental - Chicago","4800"
"82","Rental Expense","Cash Payment - Rental - New York","5360"
"82","Rental Expense","Cash Payment - Rental - Detroit","2000"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"82","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"82","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"82","Rental Expense","Cash Payment - Rental - Miami","2240"
"81","Human Resource Expense","Counselled","2000"
"81","Human Resource Expense","Counselled","2000"
"81","Human Resource Expense","Counselled","2000"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"81","Salary Expense","Cash Payment - Salary Expense","38112"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12855","562"
"81","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"81","Rental Expense","Cash Payment - Rental - Chicago","4800"
"81","Rental Expense","Cash Payment - Rental - New York","5360"
"81","Rental Expense","Cash Payment - Rental - Detroit","2000"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"81","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"81","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"81","Rental Expense","Cash Payment - Rental - Miami","2240"
"80","Human Resource Expense","Counselled","2000"
"80","Human Resource Expense","Counselled","2000"
"80","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"80","Human Resource Expense","Counselled","2000"
"80","Human Resource Expense","Counselled","2000"
"80","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"80","Salary Expense","Cash Payment - Salary Expense","37155"
"80","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12573","319"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 357","15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 367","15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 377","15000"
"80","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 380","15000"
"80","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"80","Rental Expense","Cash Payment - Rental - Chicago","4800"
"80","Rental Expense","Cash Payment - Rental - New York","5360"
"80","Rental Expense","Cash Payment - Rental - Detroit","2000"
"80","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"80","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"80","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"80","Rental Expense","Cash Payment - Rental - Miami","2240"
"79","Human Resource Expense","Counselled","2000"
"79","Human Resource Expense","Staff Transfer","15000"
"79","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"79","Salary Expense","Cash Payment - Salary Expense","36415"
"79","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12485","341"
"79","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"79","Rental Expense","Cash Payment - Rental - Chicago","4800"
"79","Rental Expense","Cash Payment - Rental - New York","5360"
"79","Rental Expense","Cash Payment - Rental - Detroit","2000"
"79","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"79","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"79","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"79","Rental Expense","Cash Payment - Rental - Miami","2240"
"78","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"78","Human Resource Expense","Counselled","2000"
"78","Human Resource Expense","Counselled","2000"
"78","Human Resource Expense","Counselled","2000"
"78","Human Resource Expense","Counselled","2000"
"78","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"78","Salary Expense","Cash Payment - Salary Expense","36415"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12299","468"
"78","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12316","342"
"78","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"78","Rental Expense","Cash Payment - Rental - Chicago","4800"
"78","Rental Expense","Cash Payment - Rental - New York","5360"
"78","Rental Expense","Cash Payment - Rental - Detroit","2000"
"78","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"78","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"78","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"78","Rental Expense","Cash Payment - Rental - Miami","2240"
"77","Human Resource Expense","Counselled","2000"
"77","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"77","Salary Expense","Cash Payment - Salary Expense","36047"
"77","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11956","224"
"77","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"77","Rental Expense","Cash Payment - Rental - Chicago","4800"
"77","Rental Expense","Cash Payment - Rental - New York","5360"
"77","Rental Expense","Cash Payment - Rental - Detroit","2000"
"77","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"77","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"77","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"77","Rental Expense","Cash Payment - Rental - Miami","2240"
"76","Human Resource Expense","Counselled","2000"
"76","Human Resource Expense","Counselled","2000"
"76","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"76","Salary Expense","Cash Payment - Salary Expense","35927"
"76","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11930","386"
"76","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"76","Rental Expense","Cash Payment - Rental - Chicago","4800"
"76","Rental Expense","Cash Payment - Rental - New York","5360"
"76","Rental Expense","Cash Payment - Rental - Detroit","2000"
"76","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"76","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"76","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"76","Rental Expense","Cash Payment - Rental - Miami","2240"
"75","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"75","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"75","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"75","Salary Expense","Cash Payment - Salary Expense","35873"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11611","529"
"75","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11776","730"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 314","15000"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 333","15000"
"75","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 402","15000"
"75","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"75","Rental Expense","Cash Payment - Rental - Chicago","4800"
"75","Rental Expense","Cash Payment - Rental - New York","5360"
"75","Rental Expense","Cash Payment - Rental - Detroit","2000"
"75","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"75","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"75","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"75","Rental Expense","Cash Payment - Rental - Miami","2240"
"74","Human Resource Expense","Counselled","2000"
"74","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"74","Salary Expense","Cash Payment - Salary Expense","34997"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11407","395"
"74","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11568","95"
"74","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"74","Rental Expense","Cash Payment - Rental - Chicago","4800"
"74","Rental Expense","Cash Payment - Rental - New York","5360"
"74","Rental Expense","Cash Payment - Rental - Detroit","2000"
"74","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"74","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"74","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"74","Rental Expense","Cash Payment - Rental - Miami","2240"
"73","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"73","Salary Expense","Cash Payment - Salary Expense","34955"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11214","224"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11222","21"
"73","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 11402","555"
"73","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"73","Rental Expense","Cash Payment - Rental - Chicago","4800"
"73","Rental Expense","Cash Payment - Rental - New York","5360"
"73","Rental Expense","Cash Payment - Rental - Detroit","2000"
"73","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"73","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"73","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"73","Rental Expense","Cash Payment - Rental - Miami","2240"
"72","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"72","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"72","Salary Expense","Cash Payment - Salary Expense","35229"
"72","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"72","Rental Expense","Cash Payment - Rental - Chicago","4800"
"72","Rental Expense","Cash Payment - Rental - New York","5360"
"72","Rental Expense","Cash Payment - Rental - Detroit","2000"
"72","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"72","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"72","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"72","Rental Expense","Cash Payment - Rental - Miami","2240"
"71","Human Resource Expense","Counselled","2000"
"71","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"71","Salary Expense","Cash Payment - Salary Expense","34476"
"71","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10816","87"
"71","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10977","100"
"71","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10994","158"
"71","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 357","15000"
"71","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 367","15000"
"71","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 377","15000"
"71","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 380","15000"
"71","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"71","Rental Expense","Cash Payment - Rental - Chicago","4800"
"71","Rental Expense","Cash Payment - Rental - New York","5360"
"71","Rental Expense","Cash Payment - Rental - Detroit","2000"
"71","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"71","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"71","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"71","Rental Expense","Cash Payment - Rental - Miami","2240"
"70","Human Resource Expense","Counselled","2000"
"70","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"70","Salary Expense","Cash Payment - Salary Expense","33594"
"70","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10641","71"
"70","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10789","147"
"70","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"70","Rental Expense","Cash Payment - Rental - Chicago","4800"
"70","Rental Expense","Cash Payment - Rental - New York","5360"
"70","Rental Expense","Cash Payment - Rental - Detroit","2000"
"70","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"70","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"70","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"70","Rental Expense","Cash Payment - Rental - Miami","2240"
"69","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"69","Salary Expense","Cash Payment - Salary Expense","33556"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10517","147"
"69","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10624","265"
"69","Interest Expense ","Cash Payment - Interest - For Overdraft","1027"
"69","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"69","Rental Expense","Cash Payment - Rental - Chicago","4800"
"69","Rental Expense","Cash Payment - Rental - New York","5360"
"69","Rental Expense","Cash Payment - Rental - Detroit","2000"
"69","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"69","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"69","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"69","Rental Expense","Cash Payment - Rental - Miami","2240"
"68","Human Resource Expense","Counselled","2000"
"68","Human Resource Expense","Counselled","2000"
"68","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"68","Salary Expense","Cash Payment - Salary Expense","33556"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10276","211"
"68","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10445","223"
"68","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"68","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","20"
"68","Rental Expense","Cash Payment - Rental - Chicago","4800"
"68","Rental Expense","Cash Payment - Rental - New York","5360"
"68","Rental Expense","Cash Payment - Rental - Detroit","2000"
"68","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"68","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"68","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"68","Rental Expense","Cash Payment - Rental - Miami","2240"
"67","Human Resource Expense","Counselled","2000"
"67","Human Resource Expense","Counselled","2000"
"67","Human Resource Expense","Counselled","2000"
"67","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"67","Salary Expense","Cash Payment - Salary Expense","33556"
"67","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10254","351"
"67","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"67","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","230"
"67","Rental Expense","Cash Payment - Rental - Chicago","4800"
"67","Rental Expense","Cash Payment - Rental - New York","5360"
"67","Rental Expense","Cash Payment - Rental - Detroit","2000"
"67","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"67","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"67","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"67","Rental Expense","Cash Payment - Rental - Miami","2240"
"66","Human Resource Expense","Staff Transfer","15000"
"66","Human Resource Expense","Counselled","2000"
"66","Human Resource Expense","Cash Payment - Staff Recruiting - Miami","60000"
"66","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"66","Salary Expense","Cash Payment - Salary Expense","33442"
"66","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9894","16"
"66","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10070","127"
"66","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 314","15000"
"66","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 333","15000"
"66","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 402","15000"
"66","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"66","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Chicago","450"
"66","Rental Expense","Cash Payment - Rental - Chicago","4800"
"66","Rental Expense","Cash Payment - Rental - New York","5360"
"66","Rental Expense","Cash Payment - Rental - Detroit","2000"
"66","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"66","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"66","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"66","Rental Expense","Cash Payment - Rental - Miami","2240"
"65","Human Resource Expense","Counselled","2000"
"65","Human Resource Expense","Counselled","2000"
"65","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"65","Salary Expense","Cash Payment - Salary Expense","32042"
"65","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9721","117"
"65","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9863","17"
"65","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9878","18"
"65","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"65","Rental Expense","Cash Payment - Rental - Chicago","4800"
"65","Rental Expense","Cash Payment - Rental - New York","5360"
"65","Rental Expense","Cash Payment - Rental - Detroit","2000"
"65","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"65","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"65","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"64","Human Resource Expense","Counselled","2000"
"64","Human Resource Expense","Counselled","2000"
"64","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"64","Salary Expense","Cash Payment - Salary Expense","31966"
"64","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9546","173"
"64","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9703","179"
"64","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9711","224"
"64","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"64","Rental Expense","Cash Payment - Rental - Chicago","4800"
"64","Rental Expense","Cash Payment - Rental - New York","5360"
"64","Rental Expense","Cash Payment - Rental - Detroit","2000"
"64","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"64","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"64","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"63","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"63","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"63","Salary Expense","Cash Payment - Salary Expense","31926"
"63","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9512","388"
"63","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9515","141"
"63","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"63","Rental Expense","Cash Payment - Rental - Chicago","4800"
"63","Rental Expense","Cash Payment - Rental - New York","5360"
"63","Rental Expense","Cash Payment - Rental - Detroit","2000"
"63","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"63","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"63","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"62","Human Resource Expense","Cash Payment - Staff Recruiting - Washington, D.C.","60000"
"62","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"62","Salary Expense","Cash Payment - Salary Expense","31188"
"62","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9212","18"
"62","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9378","26"
"62","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 357","15000"
"62","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 367","15000"
"62","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 377","15000"
"62","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 380","15000"
"62","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"62","Rental Expense","Cash Payment - Rental - Chicago","4800"
"62","Rental Expense","Cash Payment - Rental - New York","5360"
"62","Rental Expense","Cash Payment - Rental - Detroit","2000"
"62","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"62","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"62","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"61","Human Resource Expense","Counselled","2000"
"61","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"61","Salary Expense","Cash Payment - Salary Expense","29524"
"61","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9043","257"
"61","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 6061","2200"
"61","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"61","Rental Expense","Cash Payment - Rental - Chicago","4800"
"61","Rental Expense","Cash Payment - Rental - New York","5360"
"61","Rental Expense","Cash Payment - Rental - Detroit","2000"
"61","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"61","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"60","Human Resource Expense","Counselled","2000"
"60","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"60","Salary Expense","Cash Payment - Salary Expense","28678"
"60","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8524","78"
"60","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9016","275"
"60","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"60","Rental Expense","Cash Payment - Rental - Chicago","4800"
"60","Rental Expense","Cash Payment - Rental - New York","5360"
"60","Rental Expense","Cash Payment - Rental - Detroit","2000"
"60","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"60","Rental Expense","Cash Payment - Rental - San Francisco","4480"
